code_iris,median_income,poverty_rate,income_d1,income_d9,income_inequality_ratio,gini_index,income_q1,income_q3,code_insee
026910504,20050.0,19.0,11080.0,32880.0,3.0,0.249,14560.0,26270.0,02691
026910505,,,,,,,,,02691
026910601,19180.0,24.0,10200.0,33090.0,3.2,0.271,13960.0,25030.0,02691
027220101,13700.0,51.0,8200.0,27200.0,3.3,0.291,10440.0,19190.0,02722
027220102,12400.0,63.0,7740.0,20390.0,2.6,0.219,9610.0,15940.0,02722
027220103,13860.0,49.0,8450.0,23400.0,2.8,0.244,10650.0,18360.0,02722
027220201,17270.0,29.0,9780.0,26900.0,2.8,0.221,13160.0,21670.0,02722
027220301,25880.0,11.0,13700.0,44740.0,3.3,0.275,19630.0,34370.0,02722
027220401,16020.0,37.0,9150.0,26300.0,2.9,0.236,11910.0,21130.0,02722
027220501,23970.0,11.0,13660.0,45980.0,3.4,0.304,18240.0,31860.0,02722
027220502,19990.0,24.0,9930.0,39330.0,4.0,0.316,14120.0,27770.0,02722
027220503,21570.0,20.0,10590.0,50320.0,4.8,0.355,14920.0,31430.0,02722
027220601,15130.0,41.0,9320.0,25610.0,2.7,0.23,11170.0,19830.0,02722
027220701,21030.0,19.0,11240.0,35920.0,3.2,0.277,16120.0,27370.0,02722
027220801,17440.0,29.0,10180.0,30150.0,3.0,0.236,13200.0,22800.0,02722
027220901,22310.0,17.0,11440.0,41400.0,3.6,0.325,16100.0,30470.0,02722
027380101,19190.0,23.0,10350.0,30580.0,3.0,0.231,14320.0,24750.0,02738
027380102,16670.0,31.0,9950.0,25850.0,2.6,0.208,13160.0,21430.0,02738
027380201,19020.0,23.0,10990.0,30760.0,2.8,0.227,14310.0,24890.0,02738
027380301,19250.0,24.0,10780.0,30140.0,2.8,0.228,14080.0,24270.0,02738
027380302,16590.0,37.0,9440.0,27580.0,2.9,0.244,11980.0,21890.0,02738
027380401,19680.0,21.0,11070.0,30600.0,2.8,0.222,14880.0,24540.0,02738
028100102,19980.0,19.0,11400.0,33950.0,3.0,0.274,15170.0,26260.0,02810
028100202,21710.0,14.0,12410.0,38760.0,3.1,0.282,16320.0,28160.0,02810
028100302,22170.0,10.0,13850.0,33870.0,2.4,0.235,17760.0,27320.0,02810
028100401,16820.0,33.0,9290.0,27940.0,3.0,0.23,12820.0,21700.0,02810
030230101,20950.0,24.0,10640.0,38360.0,3.6,0.314,14160.0,28820.0,03023
030230102,22720.0,13.0,12320.0,40920.0,3.3,0.28,16790.0,30510.0,03023
030230103,22640.0,21.0,10300.0,42760.0,4.1,0.336,15250.0,30070.0,03023
030230104,24920.0,9.0,14360.0,40700.0,2.8,0.28,19000.0,31150.0,03023
030820101,22290.0,11.0,13200.0,32450.0,2.5,0.196,17730.0,27300.0,03082
030820102,19200.0,23.0,10470.0,31360.0,3.0,0.262,14330.0,24440.0,03082
030820103,19000.0,25.0,10100.0,29810.0,3.0,0.231,13880.0,24050.0,03082
030950101,18450.0,31.0,9170.0,31290.0,3.4,0.297,12740.0,24590.0,03095
030950102,20500.0,21.0,10310.0,34170.0,3.3,0.27,14890.0,26530.0,03095
030950103,18080.0,29.0,9950.0,30140.0,3.0,0.249,13170.0,23990.0,03095
030950105,21950.0,13.0,12960.0,36870.0,2.8,0.242,17090.0,27740.0,03095
030950106,24490.0,7.0,14840.0,39220.0,2.6,0.229,19760.0,30500.0,03095
030950111,21920.0,13.0,12730.0,35370.0,2.8,0.235,16490.0,27580.0,03095
031010101,23190.0,10.0,14220.0,35610.0,2.5,0.219,18700.0,28900.0,03101
031010102,21510.0,14.0,12150.0,33310.0,2.7,0.237,16520.0,27250.0,03101
031010103,22880.0,10.0,13950.0,35670.0,2.6,0.217,18340.0,28340.0,03101
031180101,20240.0,18.0,11390.0,32370.0,2.8,0.23,15240.0,25760.0,03118
031180102,21320.0,15.0,12070.0,35020.0,2.9,0.255,16220.0,27140.0,03118
031850101,20160.0,24.0,9540.0,41990.0,4.4,0.388,14020.0,28820.0,03185
031850102,19750.0,25.0,10240.0,36730.0,3.6,0.314,13810.0,27820.0,03185
031850103,20410.0,21.0,11160.0,33680.0,3.0,0.257,14860.0,27130.0,03185
031850104,19510.0,23.0,10720.0,29940.0,2.8,0.23,14070.0,24820.0,03185
031850105,17480.0,31.0,9190.0,27900.0,3.0,0.244,12620.0,22970.0,03185
031850106,16320.0,35.0,9000.0,26890.0,3.0,0.281,12190.0,21420.0,03185
031850107,,,,,,,,,03185
031850108,21550.0,17.0,11840.0,35110.0,3.0,0.245,15990.0,27610.0,03185
031850109,,,,,,,,,03185
031850110,23100.0,17.0,11640.0,39650.0,3.4,0.289,16180.0,30060.0,03185
031850111,23470.0,11.0,13080.0,40370.0,3.1,0.289,17490.0,31010.0,03185
031850112,20690.0,19.0,11510.0,33450.0,2.9,0.241,15260.0,26860.0,03185
031850113,17100.0,34.0,9580.0,28430.0,3.0,0.248,12460.0,22770.0,03185
031850114,20220.0,22.0,11050.0,32350.0,2.9,0.236,14710.0,26560.0,03185
031850115,16380.0,37.0,8310.0,27840.0,3.4,0.261,11510.0,22250.0,03185
