code_insee,median_income,poverty_rate,income_d1,income_d9,income_inequality_ratio,gini_index,income_q1,income_q3
13022,28167.5,10.5,13830.0,66180.0,4.825,0.40425,19797.5,41830.0
13026,23442.0,12.6,12930.0,36866.0,2.8600000000000003,0.22800000000000004,17694.0,30000.0
13027,21138.333333333332,18.5,11471.666666666666,37201.666666666664,3.25,0.284,15568.333333333334,28013.333333333332
13028,23424.615384615383,15.538461538461538,12286.923076923076,41666.153846153844,3.3923076923076922,0.27476923076923077,17038.46153846154,31004.615384615383
13032,32470.0,6.333333333333333,16373.333333333334,60746.666666666664,3.6999999999999997,0.31033333333333335,23313.333333333332,43633.333333333336
13035,25595.0,10.0,13825.0,43475.0,3.1500000000000004,0.2645,19350.0,33560.0
13037,26900.0,7.0,15233.333333333334,41673.333333333336,2.733333333333333,0.2333333333333333,20603.333333333332,33750.0
13039,23544.0,10.8,13902.0,36324.0,2.62,0.2136,18310.0,29336.0
13040,28033.333333333332,7.666666666666667,15080.0,46610.0,3.1,0.255,20863.333333333332,36373.333333333336
13041,22791.25,13.625,12963.75,36772.5,2.8625,0.23225,17165.0,29243.75
13042,28820.0,7.0,15505.0,55715.0,3.5999999999999996,0.2885,21620.0,39410.0
13043,24310.0,11.0,13263.333333333334,37693.333333333336,2.8333333333333335,0.2313333333333333,18440.0,30490.0
13047,22514.375,15.25,13178.125,36246.875,2.775,0.23025,17162.5,28868.75
13050,25713.333333333332,10.0,14243.333333333334,44370.0,3.1333333333333333,0.25666666666666665,19503.333333333332,34340.0
13051,26686.666666666668,6.666666666666667,15696.666666666666,42400.0,2.733333333333333,0.23066666666666666,20696.666666666668,33890.0
13054,21576.0,19.466666666666665,11711.333333333334,34668.666666666664,3.0266666666666664,0.24193333333333333,16180.0,27757.333333333332
13055,21327.236024844722,25.900621118012424,10797.577639751553,39116.14906832298,3.630124223602485,0.2866956521739131,15248.850931677018,29075.062111801242
13056,22224.444444444445,19.833333333333332,12233.888888888889,37024.444444444445,3.038888888888889,0.2445,16468.88888888889,28796.666666666668
13063,19378.88888888889,25.11111111111111,11378.888888888889,30681.11111111111,2.7,0.22688888888888886,14901.111111111111,24768.88888888889
13069,26930.0,8.0,15266.666666666666,45436.666666666664,3.0,0.25733333333333336,20566.666666666668,35080.0
13070,24013.333333333332,12.333333333333334,13486.666666666666,39493.333333333336,2.9333333333333336,0.24466666666666667,18570.0,30773.333333333332
13071,26127.5,8.25,15231.25,41977.5,2.7625,0.23925,20166.25,33223.75
13075,25948.0,7.8,14866.0,41814.0,2.82,0.23220000000000002,20058.0,33180.0
13077,19530.0,24.375,11246.25,32203.75,2.8875,0.234875,14615.0,25646.25
13078,20622.5,21.25,11222.5,35310.0,3.15,0.2535,14817.5,27832.5
13081,24536.0,10.0,13954.0,38156.0,2.7199999999999998,0.22240000000000001,19026.0,30962.0
13086,26222.5,10.0,14122.5,46875.0,3.325,0.291,19655.0,34840.0
13092,24286.666666666668,10.666666666666666,14000.0,38903.333333333336,2.766666666666667,0.235,18610.0,31186.666666666668
13097,23252.0,11.4,13482.0,37008.0,2.7399999999999998,0.2338,17950.0,29752.0
13098,27260.0,7.0,15060.0,44540.0,3.0,0.245,20440.0,35700.0
13100,23037.5,17.0,11652.5,46605.0,3.9749999999999996,0.3855,16612.5,32125.0
13102,22746.666666666668,12.333333333333334,12596.666666666666,36370.0,2.9,0.23199999999999998,17416.666666666668,29093.333333333332
13103,21890.0,18.6,12227.333333333334,37193.333333333336,3.033333333333333,0.2544,16414.0,28880.666666666668
13104,28743.333333333332,7.0,15610.0,50640.0,3.233333333333333,0.2683333333333333,21456.666666666668,38076.666666666664
13105,22600.0,14.0,12480.0,37890.0,3.05,0.255,16840.0,29695.0
13106,21937.5,18.0,12435.0,36205.0,2.95,0.24625,16585.0,28847.5
13107,28895.0,6.5,16000.0,50235.0,3.0999999999999996,0.257,22120.0,37780.0
13108,18056.0,31.8,9632.0,30894.0,3.22,0.2706,13204.0,24208.0
13110,25555.0,10.25,14330.0,41990.0,2.925,0.2525,19325.0,32920.0
13112,28940.0,6.666666666666667,16673.333333333332,46716.666666666664,2.8000000000000003,0.22999999999999998,22370.0,36976.666666666664
13113,29460.0,6.0,16380.0,50296.666666666664,3.0666666666666664,0.25966666666666666,22016.666666666668,38210.0
13117,21729.285714285714,18.142857142857142,12455.0,34160.0,2.757142857142857,0.22171428571428572,16546.428571428572,27647.14285714286
13119,26090.0,9.0,14733.333333333334,44070.0,3.0,0.251,20033.333333333332,34033.333333333336
14047,21578.571428571428,16.571428571428573,12245.714285714286,37344.28571428572,3.085714285714286,0.286,16167.142857142857,28132.85714285714
14118,22022.82608695652,21.32608695652174,11443.91304347826,41066.739130434784,3.5565217391304347,0.28982608695652173,16148.478260869566,29957.82608695652
14167,19193.333333333332,21.666666666666668,11400.0,29883.333333333332,2.6333333333333333,0.21866666666666665,14486.666666666666,24126.666666666668
14174,20307.5,17.0,11937.5,32575.0,2.725,0.22975,15740.0,25322.5
14181,23135.0,9.0,14435.0,36115.0,2.5,0.2165,18455.0,29050.0
14225,19563.333333333332,20.0,11250.0,32273.333333333332,2.8666666666666667,0.247,14820.0,25066.666666666668
14258,20132.5,20.75,11975.0,32405.0,2.7,0.23500000000000001,15747.5,25415.0
14271,21500.0,16.0,12045.0,36755.0,3.05,0.27549999999999997,16025.0,27660.0
14301,21670.0,12.0,13310.0,32595.0,2.45,0.20700000000000002,16755.0,26870.0
14327,19552.222222222223,24.11111111111111,11132.222222222223,31847.777777777777,2.8333333333333335,0.2372222222222222,14808.888888888889,25394.444444444445
14333,21713.333333333332,15.333333333333334,11696.666666666666,40186.666666666664,3.4666666666666663,0.291,16403.333333333332,29730.0
14341,22197.5,13.5,12647.5,35740.0,2.8,0.23625,16910.0,28387.5
14366,19238.0,23.3,10902.0,31506.0,2.9,0.2431,14504.0,24782.0
14437,21660.0,13.25,13132.5,33365.0,2.575,0.21250000000000002,16952.5,27022.5
14488,24092.5,10.25,13737.5,40932.5,2.975,0.25575000000000003,18247.5,31257.5
14715,22273.333333333332,17.666666666666668,11606.666666666666,45403.333333333336,3.966666666666667,0.342,16313.333333333334,30963.333333333332
14762,20951.11111111111,16.333333333333332,12543.333333333334,33253.333333333336,2.677777777777778,0.2523333333333333,16488.88888888889,26315.555555555555
15012,23460.0,8.0,14495.0,37220.0,2.5999999999999996,0.22949999999999998,18875.0,29430.0
15014,21810.76923076923,17.076923076923077,12400.76923076923,37075.38461538462,3.0076923076923077,0.25946153846153847,16491.53846153846,28549.23076923077
15187,21195.0,14.5,12385.0,35600.0,2.9,0.26,16260.0,27260.0
16015,19595.882352941175,27.705882352941178,10169.411764705883,36324.117647058825,3.570588235294118,0.2881764705882353,14055.882352941177,27018.235294117647
16028,20195.0,20.0,11390.0,35635.0,3.15,0.268,15000.0,26745.0
