dept_code,area_km2_raw,population_raw,density_raw,area_from_pop_density,ratio_raw_vs_calc,flag_inconsistent,area_km2
68,3525.2,770738.0,218.6,3525.7913998170175,0.9998322646606239,False,3525.2
69,3249.1,1914667.0,589.3,3249.0531138639067,1.000014430707794,False,3249.1
70,5360.1,233185.0,43.5,5360.574712643678,0.9999114437034973,False,5360.1
71,8574.7,550310.0,64.2,8571.806853582553,1.0003375188530104,False,8574.7
72,6206.0,566733.0,91.3,6207.3713033954,0.9997790846836164,False,6206.0
73,6028.3,448226.0,74.4,6024.543010752688,1.0006236139804474,False,6028.3
74,4387.8,861158.0,196.3,4386.948548140601,1.000194087496139,False,4387.8
75,105.4,2103778.0,19959.9,105.40022745604936,0.9999978419776233,False,105.4
76,6277.6,1260964.0,200.9,6276.575410652065,1.0001632401876661,False,6277.6
77,5915.3,1468108.0,248.2,5915.020145044319,1.0000473125955311,False,5915.3
78,2284.4,1485086.0,650.2,2284.0449092586896,1.0001554657440714,False,2284.4
79,5999.4,375229.0,62.5,6003.664,0.9992897670489221,False,5999.4
80,6170.1,565413.0,91.6,6172.631004366813,0.9995899634426516,False,6170.1
81,5757.9,397352.0,69.0,5758.724637681159,0.9998568020294348,False,5757.9
82,3718.3,265817.0,71.5,3717.72027972028,1.0001559343458093,False,3718.3
83,5972.5,1119307.0,187.4,5972.822838847385,0.9999459486986144,False,5972.5
84,3567.3,572056.0,160.4,3566.43391521197,1.000242843357993,False,3567.3
85,6719.6,713609.0,106.2,6719.482109227872,1.0000175446217747,False,6719.6
86,6990.4,438897.0,62.8,6988.8057324840765,1.0002281173031484,False,6990.4
87,5520.1,373167.0,67.6,5520.221893491124,0.9999779187334358,False,5520.1
88,5873.8,357248.0,60.8,5875.789473684211,0.9996614116804012,False,5873.8
89,7427.4,332267.0,44.7,7433.266219239373,0.9992108153984598,False,7427.4
90,609.4,140255.0,230.3,609.0099869735128,1.0006404049766497,False,609.4
91,1804.4,1338485.0,742.0,1803.888140161725,1.0002837536468472,False,1804.4
92,175.6,1654712.0,9401.8,175.99948945946522,0.9977301669414375,False,175.6
93,236.2,1704316.0,7221.7,235.9992799479347,1.0008505112901598,False,236.2
94,245.0,1426929.0,5824.2,245.0,1.0,False,245.0
95,1245.9,1281653.0,1028.6,1246.0169161967724,0.9999061680501665,False,1245.9
971,1628.4,384160.0,235.9,1628.486646884273,0.9999467930029156,False,1628.4
972,1128.0,360630.0,319.7,1128.026274632468,0.9999767074286665,False,1128.0
973,83533.9,293996.0,3.5,83998.85714285714,0.9944647206084436,False,83533.9
974,2503.7,889679.0,355.3,2504.021953278919,0.999871425536626,False,2503.7
976,376.0,256518.0,682.2,376.0158311345646,0.9999578976913901,False,376.0
