structure,nom1,nom2,adresse1,adresse2,cp,ville,longitude,latitude,coordonnees_geoloc,coordonnees_ban,region,coordonnees_finales.lon,coordonnees_finales.lat,coordonnees_finales
SMAC en cours de labellisation,Deux pièces cuisine,Commune du Blanc-Mesnil,42 avenue Paul Vaillant Couturier,,93150.0,LE BLANC-MESNIL,,,,"48.928585, 2.476136",Île-de-France,2.476136,48.928585,
Scène Nationale,L’Artchipel – Scène nationale,,avenue du Général Félix Eboué,BP 280,97100.0,BASSE TERRE Cedex,-61.72790599999999,15.992473000000002,"15.992473000000002,-61.72790599999999","15.994165, -61.726048",,-61.72790599999999,15.992473000000002,
Scène Nationale,Théâtre 71 - Scène nationale,,"3, place du 11 Novembre",,92240.0,MALAKOFF,2.302274,48.821289,"48.821289,2.302274","48.821161, 2.30155",Île-de-France,2.302274,48.821289,
SMAC,L'Ampli,Ampli Association,Allée Montesquieu,,64140.0,BILIERE,,,,"43.302274, -0.39902",Nouvelle-Aquitaine,-0.39902000000000004,43.302274,
Centre Dramatique National,THEATRE NATIONAL DE MARSEILLE,TNM La Criée,"30, quai de Rive Neuve",,13284.0,MARSEILLE CEDEX 7,5.368406000000001,43.29278599999999,"43.29278599999999,5.368406000000001",,Provence-Alpes-Côte d'Azur,5.368406000000001,43.29278599999999,
Scène Nationale,Lux - Scène nationale,,"36, boulevard du Général de Gaulle",,26000.0,VALENCE,4.894301,44.93031399999999,"44.93031399999999,4.894301","44.930191, 4.893946",Auvergne-Rhône-Alpes,4.8943010000000005,44.93031399999999,
Centre Dramatique National,LA COMEDIE DE SAINT-ETIENNE,,"7, avenue Emile Loubet",,42000.0,SAINT-ETIENNE,4.383267,45.43589799999999,"45.43589799999999,4.383267","45.435508, 4.383442",Auvergne-Rhône-Alpes,4.383267,45.43589799999999,
Centre d’art,CCC DE TOURS,CENTRE DE CRÉATION CONTEMPORAINE,"53-55, rue Marcel Tribut",,37000.0,TOURS,,,,"47.389465, 0.699598",Centre-Val de Loire,0.6995979999999999,47.389465,
Opéra en région,Opera de Rennes,,-,,35031.0,RENNES CEDEX,-1.680227,48.11035300000002,"48.11035300000002,-1.680227",,Bretagne,-1.680227,48.11035300000002,
Scène Nationale,La Comédie de Clermont-Ferrand,,Rue Abbé de l’Épée,,63000.0,CLERMONT-FERRAND,3.084558,45.76992700000001,"45.76992700000001,3.084558","45.769728, 3.085876",Auvergne-Rhône-Alpes,3.084558,45.76992700000001,
Centre d’art,LA CRIÉE CENTRE D'ART CONTEMPORAIN,,Place Honoré Commeurec,,35000.0,RENNES,,,,"48.1084, -1.67969",Bretagne,-1.67969,48.1084,
Centre d’art,LA CHAPELLE JEANNE D'ARC,,Place Jeanne d'Arc,,79100.0,THOUARS,,,,"46.98482, -0.210144",Nouvelle-Aquitaine,-0.210144,46.98482,
SMAC,File 7,File 7 – Café musique du Val d'Europe,"4, rue des Labours",,77700.0,MAGNY-LE-HONGRE,,,,"48.86399, 2.813127",Île-de-France,2.8131269999999997,48.86399,
Centre national des arts de la rue,Le Citron jaune,,30 avenur Max Dormoy,,13230.0,PORT-SAINT-LOUIS-DU-RHONE,4.812356,43.391278000000014,"43.391278000000014,4.812356","43.391538, 4.812977",Provence-Alpes-Côte d'Azur,4.812356,43.391278000000014,
FRAC,Fonds régional d'art contemporain AUVERGNE,,"1, rue Barbançon",,63000.0,CLERMONT-FERRAND,,,,"45.778372, 3.086687",Auvergne-Rhône-Alpes,3.086687,45.778372,
Centre national des arts de la rue,L'Abattoir,,"52, quai Saint Cosme",,71100.0,CHALON-SUR-SAONE,4.846402000000001,46.77560799999999,"46.77560799999999,4.846402000000001","46.775136, 4.84575",Bourgogne-Franche-Comté,4.846402000000001,46.77560799999999,
Centre national des arts de la rue,La Paperie,,Rue de la Paperie,,49124.0,SAINT BARTHELEMY D'ANJOU,-0.512408,47.46310599999999,"47.46310599999999,-0.512408","47.466077, -0.509353",Pays de la Loire,-0.512408,47.46310599999999,
Scène Nationale,Maison de la Culture de Bourges,,Place André Malraux,BP 257,18000.0,BOURGES Cedex,2.401528,47.06516500000001,"47.06516500000001,2.401528","47.067036, 2.390459",Centre-Val de Loire,2.401528,47.06516500000001,
SMAC,La Sirène,XLR Espace musiques actuelles/  La Palice,"111, boulevard Emile Delmas",La Pallice,17000.0,LA ROCHELLE,,,,"46.160488, -1.215798",Nouvelle-Aquitaine,-1.215798,46.160488,
Pôle cirque,La Cascade,,Avenue de Tourne,,7700.0,BOURG-SAINT-ANDEOL,,,,"44.369746, 4.642929",Auvergne-Rhône-Alpes,4.642929,44.369746,
Centre chorégraphique national,Centre chorégraphique national deTours,,"47, rue du Sergent Leclerc",,37000.0,Tours,0.675551,47.377714000000005,"47.377714000000005,0.675551","47.37777, 0.6755",Centre-Val de Loire,0.675551,47.377714000000005,
SMAC,L'Empreinte,régie municipale,"301, avenue de l'Europe",,77176.0,SAVIGNY-LE-TEMPLE,,,,"48.595426, 2.585043",Île-de-France,2.5850429999999998,48.595426,
SMAC,Fuzz'Yon,Association fuzz'Yon,"18, rue Sadi Carnot",BP 183,85000.0,LA ROCHE-SUR-YON,,,,"46.670775, -1.423575",Pays de la Loire,-1.423575,46.670775,
Scène Nationale,Le Phénix  - Scène nationale de Valenciennes,,Boulevard Henri Harpignies,,59300.0,VALENCIENNES Cedex,3.5339509999999996,50.36142600000001,"50.36142600000001,3.5339509999999996","50.364409, 3.524458",Hauts-de-France,3.533950999999999,50.36142600000001,
Centre d’art,PASSAGES - CENTRE D'ART CONTEMPORAIN,,"9, rue Jeanne d'Arc",,10000.0,TROYES,,,,"48.292305, 4.067997",Grand Est,4.067997,48.292305,
Centres nationaux de création musicale,Groupe de musique expérimentale de Marseille (GMEM),,"15, rue de Cassis",,13008.0,Marseille,5.389298999999999,43.279554999999995,"43.279554999999995,5.389298999999999","43.27968, 5.389358",Provence-Alpes-Côte d'Azur,5.389298999999999,43.279554999999995,
SMAC,L'Usine à chapeau,"Maison des jeunes et de la culture de Rambouillet, Centre social l'Usine à Chapeaux","C/O MJC 32, rue Gambetta",,78120.0,RAMBOUILLET,,,,"48.646114, 1.826622",Île-de-France,1.826622,48.646114,
Orchestre Permanent,Orchestre Philharmonique de Strasbourg,,Place de Bordeaux-Wacken,Palais de la Musique et des Congrès,67076.0,Strasbourg Cedex,7.786679,48.622814,"48.622814,7.786679",,Grand Est,7.786679,48.622814,
SMAC,Les Docks,EPCI,430 allée des soupirs,,46000.0,CAHORS,,,,"44.444665, 1.433007",Occitanie,1.433007,44.444665,
FRAC,Fonds régional d'art contemporain ALSACE,Agence culturelle d'Alsace,"1, espace Gilbert Estève BP 25",,67600.0,SELESTAT,,,,"48.255557, 7.457459",Grand Est,7.457459,48.255557,
FRAC,Fonds régional d'art contemporain MIDI-PYRENEES,LES ABATTOIRS,"76, allée Charles de Fitte",,31300.0,TOULOUSE,,,,"43.600678, 1.428998",Occitanie,1.428998,43.600678,
SMAC,L'Astrolabe,Association Antirouille,"1, rue Alexandre Avisse",C/O association l' Antirouille,45000.0,ORLEANS,,,,"47.903267, 1.892976",Centre-Val de Loire,1.892976,47.903267,
Centre chorégraphique national,Ballet national de Marseille,,"20, bd de Gabès",,13417.0,Marseille Cedex 08,5.383504,43.265056,"43.265056,5.383504",,Provence-Alpes-Côte d'Azur,5.383504,43.265056,
FRAC,Fonds régional d'art contemporain LORRAINE,49 NORD 6 EST,"1 bis, rue des Trinitaires",,57000.0,METZ,,,,"49.120613, 6.179196",Grand Est,6.179196,49.120613,
SMAC,La Laiterie,La laiterie Artefact PRL,"13, rue du Hohwald",,67000.0,STRASBOURG,,,,"48.576071, 7.729923",Grand Est,7.729923,48.576071,
Scène Nationale,Théâtre de Cavaillon - Scène nationale,,rue du Languedoc,BP 205,84300.0,CAVAILLON Cedex,5.042427,43.83258800000001,"43.83258800000001,5.042427","43.83256, 5.04245",Provence-Alpes-Côte d'Azur,5.042427,43.83258800000001,
Scène Nationale,Centre Culturel du Blésois - Scène nationale,,Place de la République,BP 179,41000.0,BLOIS,1.3338,47.589372000000004,"47.589372000000004,1.3338","47.589955, 1.333897",Centre-Val de Loire,1.3338,47.589372000000004,
Centre Dramatique National,CENTRE DRAMATIQUE NATIONAL D’ORLEANS,,Carré Saint-Vincent,,45000.0,ORLEANS,1.916929,47.91864699999999,"47.91864699999999,1.916929","47.904183, 1.91292",Centre-Val de Loire,1.916929,47.91864699999999,
Orchestre Permanent,Orchestre d'Auvergne,,"La Diode - 190/194, boulevard Gustave Flaubert",,63000.0,Clermont-Ferrand,3.122875,45.770512,"45.770512,3.122875","45.766259, 3.125066",Auvergne-Rhône-Alpes,3.122875,45.770512,
Orchestre Permanent,Orchestre national de Montpellier Languedoc-Roussillon,,Le Corum,BP 9056,34041.0,Montpellier,3.882074,43.613244,"43.613244,3.882074",,Occitanie,3.882074,43.613244,
Scène Nationale,Théâtre du Merlan - Scène nationale,,Avenue Raimu,BP 153,13307.0,MARSEILLE Cedex 14,5.398464,43.331385000000004,"43.331385000000004,5.398464",,Provence-Alpes-Côte d'Azur,5.398464,43.331385000000004,
SMAC en cours de labellisation,La Boite à musique BAM / Les Trinitaires,EPCC Metz en Scènes,20 boulevard d'Alsace,,57000.0,METZ,,,,"49.116896, 6.184895",Grand Est,6.184895,49.116896,
Centre Dramatique National,LA COMEDIE DE VALENCE,Centre dramatique national Drôme-Ardèche,Place Charles-Huguenel,,26000.0,VALENCE,4.892212,44.934492999999996,"44.934492999999996,4.892212","44.934549, 4.892308",Auvergne-Rhône-Alpes,4.892212,44.934492999999996,
Opéra en région,Opéra Theatre d’Avignon et des pays de Vaucluse,,B.P. 111,,84007.0,AVIGNON Cedex,4.821076,43.93483399999998,"43.93483399999998,4.821076",,Provence-Alpes-Côte d'Azur,4.821076,43.93483399999998,
Centre chorégraphique national,Centre chorégraphique national d'Aix-en-Provence - Ballet Preljocaj,,Pavillon Noir,530 avenue Mozart,13627.0,Aix-en-Provence Cedex 01,5.470849,43.551174,"43.551174,5.470849",,Provence-Alpes-Côte d'Azur,5.470849,43.551174,
Orchestre Permanent,L'Ensemble de Basse-Normandie,,"4, rue de l’hôtellerie",,14120.0,MONDEVILLE,-0.317366,49.176447,"49.176447,-0.317366","49.184957, -0.310136",Normandie,-0.317366,49.176447,
Orchestre Permanent,Ensemble Orchestral de Paris,,"125, rue Aristide Briand",,92300.0,LEVALLOIS-PERRET,2.295428,48.89548600000001,"48.89548600000001,2.295428","48.895515, 2.295392",Île-de-France,2.295428,48.89548600000001,
Centre de développement chorégraphique,Biennale nationale de danse du Val-de-Marne,,,,94400.0,VITRY-SUR-SEINE,,,,"48.787238, 2.391594",Île-de-France,2.391594,48.787238,
SMAC en cours de labellisation,L'Affranchi SMAC d'agglomération marseillaise,association R'Vallée,"212, boulevard Saint Marcel",,13011.0,MARSEILLE,,,,"43.286268, 5.469297",Provence-Alpes-Côte d'Azur,5.469297,43.286268,
Scène Nationale,La Coupole - Scène nationale,Centre de Création et de Diffusion Artistique de Sénart,rue Jean-François Millet,,77380.0,COMBS-LA-VILLE,2.545007,48.665251,"48.665251,2.545007","48.659346, 2.567974",Île-de-France,2.545007,48.665251,
Centre d’art,CEAAC - CENTRE EUROPEEN D'ACTIONS,ARTISTIQUES CONTEMPORAINES,"7, rue de l'Abreuvoir",,67000.0,STRASBOURG,,,,"48.578947, 7.760034",Grand Est,7.760034,48.578947,
Orchestre Permanent,Orchestre national de Bordeaux-Aquitaine,,Place de la Comédie,BP 95,33025.0,Bordeaux Cedex,-0.574308,44.84234200000002,"44.84234200000002,-0.574308",,Nouvelle-Aquitaine,-0.5743079999999999,44.84234200000002,
Centre de développement chorégraphique,Le Cuvier / CDC d'Aquitaine Artigues-près-Bordeaux,,,,33370.0,ARTIGUES-PRES-BORDEAUX,,,,"44.858314, -0.497405",Nouvelle-Aquitaine,-0.497405,44.858314,
Scène Nationale,Théâtre de Cornouaille - Scène nationale de Quimper,,"1, esplanade François Mitterrand",,29000.0,QUIMPER Cedex,-4.085539,47.963675999999985,"47.963675999999985,-4.085539","47.995959, -4.109662",Bretagne,-4.085539,47.963675999999985,
SMAC,L 'Aéronef,Les Spectacles sans gravités,"Avenue Willy Brandt, 168",Centre Commercial,59777.0,LILLE,,,,"50.636617, 3.074141",Hauts-de-France,3.074141,50.636617,
Opéra en région,Opéra de Tours,,34 rue de la Sellerie,,37000.0,TOURS,0.690005,47.394377999999996,"47.394377999999996,0.690005","47.394422, 0.689971",Centre-Val de Loire,0.690005,47.394377999999996,
Centre chorégraphique national,Centre chorégraphique national de Créteil et du Val-de-Marne,,Maison des Arts Place Salvador Allende,,94000.0,Créteil,2.4579109999999997,48.800463,"48.800463,2.4579109999999997",,Île-de-France,2.457910999999999,48.800463,
Scène Nationale,L'Arc - Scène nationale,,Esplanade François Mitterrand,BP 5,71200.0,LE CREUSOT Cedex,4.430211,46.806533999999985,"46.806533999999985,4.430211","46.80645, 4.429984",Bourgogne-Franche-Comté,4.430211,46.806533999999985,
SMAC,Tandem,Association Tandem,"19, rue Paul Lendrin BP 715",,83000.0,TOULON,,,,"43.123154, 5.934153",Provence-Alpes-Côte d'Azur,5.934153,43.123154,
Centre Dramatique National,CENTRE DRAMATIQUE NATIONAL DES ALPES,,"4, rue Paul Claudel",B.P. 2448,38034.0,GRENOBLE CEDEX 2,5.732392000000001,45.17164,"45.17164,5.732392000000001",,Auvergne-Rhône-Alpes,5.732392000000001,45.17164,
SMAC en cours de labellisation,MJC du Verdunois,La Passerelle,2 place André Maginot,,55430.0,BELLEVILLE-SUR-MEUSE,,,,"49.175299, 5.379429",Grand Est,5.379429,49.175299,
Centre Dramatique National,LA COMEDIE DE CAEN,,"1, square du Théâtre",BP 94,14203.0,Hérouville Saint-Clair Cedex,-0.344908,49.22016800000002,"49.22016800000002,-0.344908",,Normandie,-0.344908,49.22016800000002,
Opéra en région,Opéra de Lille,,2 rue des Bons Enfants,BP 133,59001.0,LILLE CEDEX,3.0652490000000006,50.638211999999996,"50.638211999999996,3.0652490000000006",,Hauts-de-France,3.065249,50.638211999999996,
Centre Dramatique National,THEATRE DE LORIENT,CENTRE DRAMATIQUE NATIONAL DE BRETAGNE,"11, rue Claire Droneau",B.P. 726,56107.0,LORIENT CEDEX,-3.3740629999999996,47.744379000000016,"47.744379000000016,-3.3740629999999996",,Bretagne,-3.374062999999999,47.744379000000016,
Centre national des arts de la rue,Usines Boinot,,3 rue de la Chamoiserie,,79000.0,NIORT,-0.46987199999999996,46.32470099999998,"46.32470099999998,-0.46987199999999996","46.324598, -0.469989",Nouvelle-Aquitaine,-0.469871999999999,46.32470099999998,
FRAC,Fonds régional d'art contemporain POITOU-CHARENTES,,"63, boulevard Besson Bey",,16000.0,ANGOULÊME,,,,"45.654456, 0.158254",Nouvelle-Aquitaine,0.158254,45.654456,
SMAC,Le Chato d'O,Association Mars,"113, avenue de Vendôme",,41000.0,BLOIS,,,,"47.605351, 1.313512",Centre-Val de Loire,1.313512,47.605351,
Scène Nationale,La Comète - Scène nationale,,"5, rue des Fripier",BP 233,51010.0,CHALONS EN CHAMPAGNE,4.363944,48.95629700000001,"48.95629700000001,4.363944",,Grand Est,4.363944,48.956297000000006,
SMAC,SMAC d'agglomération Bordelaise : Aréma rock et chanson,,"181, rue François Boucher",,33400.0,TALENCE,,,,"44.792841, -0.586843",Nouvelle-Aquitaine,-0.586843,44.792841,
Scène Nationale,Espace Besançon Planoise - Scène nationale,,Place de l’Europe,BP 2033,25050.0,BESANÇON Cedex,5.973351,47.217925999999984,"47.217925999999984,5.973351",,Bourgogne-Franche-Comté,5.973351,47.217925999999984,
Centre Dramatique Régional,THEATRE DES DEUX RIVES,CENTRE DE CREATION DRAMATIQUE DE HAUTE-NORMANDIE,"48, rue Louis Ricard",,76000.0,ROUEN,1.100427,49.44675900000001,"49.44675900000001,1.100427","49.446546, 1.100425",Normandie,1.100427,49.44675900000001,
