structure,nom1,nom2,adresse1,adresse2,cp,ville,longitude,latitude,coordonnees_geoloc,coordonnees_ban,region,coordonnees_finales.lon,coordonnees_finales.lat,coordonnees_finales
Centre d’art,CENTRE RHÉNAN D'ART CONTEMPORAIN,CRAC ALSACE,"18, rue du Château",,68130.0,ALTKIRCH,,,,"47.625137, 7.239095",Grand Est,7.239095,47.625137,
Centre d’art,LE PARVIS CENTRE D'ART CONTEMPORAIN,DE LA SCÈNE NATIONALE,Centre Le  Méridien,,65420.0,IBOS,,,,"43.239779, 0.015476",Occitanie,0.015475999999999998,43.239779,
Orchestre Permanent,Orchestre de chambre de Toulouse,,"22, allée de Barcelone",,31000.0,TOULOUSE,1.420983,43.61015300000002,"43.61015300000002,1.420983","43.605728, 1.433403",Occitanie,1.420983,43.61015300000002,
Centre chorégraphique national,Centre chorégraphique national de Caen et de Basse-Normandie,,11 rue du Carel,BP 75411,14054.0,Caen cedex 4,-0.371104,49.17986799999999,"49.17986799999999,-0.371104",,Normandie,-0.371104,49.17986799999999,
SMAC,La Cartonnerie,REMCA,"84, rue du Docteur Lemoine",,51100.0,REIMS,,,,"49.268191, 4.03583",Grand Est,4.03583,49.268191,
SMAC,"SMAC départementale : Rocksane (Bergerac), Le Sans Réserve et IMR (Périgueux)",Rocksane Overlook / Sans Réserve/ Institut des musiques rock,,,,BERGERAC | PERIGUEUX |PERIGUEUX,,,,"45.177359, 0.725478",Nouvelle-Aquitaine,0.725478,45.177359,
SMAC en cours de labellisation,La Belle Electrique,Association MixLab,12 esplanade Andry-Farcy,,38000.0,GRENOBLE,,,,"45.187197, 5.70455",Auvergne-Rhône-Alpes,5.70455,45.187197,
Scène Nationale,Les Gémeaux - Scène nationale,,"49, avenue Georges Clemenceau",,92330.0,SCEAUX,2.306596,48.78380600000002,"48.78380600000002,2.306596","48.7839, 2.306475",Île-de-France,2.306596,48.78380600000002,
SMAC,Le Jardin Moderne (projet SMAC d’agglomération rennaise),association Le Jardin Moderne,"11, rue du Manoir de Servigné",,35000.0,RENNES,,,,"48.102259, -1.725756",Bretagne,-1.725756,48.102259,
FRAC,Fonds régional d'art contemporain CENTRE,,"12, rue de la Tour-Neuve",,45000.0,ORLÉANS,,,,"47.899084, 1.913643",Centre-Val de Loire,1.913643,47.899084,
Pôle cirque,La Verrerie d'Alès,,Chemin de St Raby,BP 20263,30100.0,ALES,,,,"44.12818, 4.065853",Occitanie,4.065853,44.12818,
Centre d’art,ATELIERS DE L'IMPRIME,CENTRE D'ART CONTEMPORAIN,12 rue Taupanne,,86100.0,CHÂTELLERAULT,,,,"46.819975, 0.543428",Nouvelle-Aquitaine,0.543428,46.819975,
SMAC,Victoire II,Association Stand'art,"2, rue T Renaudot",Domaine du Mas de Grille,34430.0,SAINT-JEAN-DE-VEDAS,,,,"43.574682, 3.850943",Occitanie,3.850943,43.574682,
Centre d’art,ACTE DE NAISSANCE,GALERIE L'H DU SIÈGE,"15, rue de l'Hôpital de Siège",,59300.0,VALENCIENNES,,,,"50.352224, 3.520612",Hauts-de-France,3.520612,50.352224,
Scène Nationale,MC2,Maison de la Culture de Grenoble,4 rue Paul Claudel,CS 92448,38034.0,GRENOBLE Cedex 2,5.730066,45.16775999999999,"45.16775999999999,5.730066",,Auvergne-Rhône-Alpes,5.730066,45.16775999999999,
Centre chorégraphique national,Centre chorégraphique national de Rennes et de Bretagne,,"38, rue Saint-Mélaine",,35060.0,Rennes Cedex 3,-1.6754649999999998,48.114799,"48.114799,-1.6754649999999998",,Bretagne,-1.675464999999999,48.114799,
Scène Nationale,Maison de la Culture d’Amiens - Scène nationale,,"2, Place Léon Gontier",BP 0631,80000.0,AMIENS,2.293111,49.89419199999999,"49.89419199999999,2.293111","49.89407, 2.292451",Hauts-de-France,2.293111,49.89419199999999,
SMAC,Le Silex/ Jazz Club d'Auxerre,Service Compris,"7, rue de l'ïle aux plaisirs",cité des Musiques,89000.0,AUXERRE,,,,"47.795498, 3.58031",Bourgogne-Franche-Comté,3.58031,47.795498,
Centre Dramatique National,THEATRE NATIONAL DE NICE,,Promenade des Arts,,6300.0,NICE,7.275861,43.70619500000002,"43.70619500000002,7.275861",,Provence-Alpes-Côte d'Azur,7.275861,43.70619500000002,
Scène Nationale,Culture commune - Scène nationale,,"11/19, rue de Bourgogne",,62750.0,LOOS-EN-GOHELLE,2.787572,50.441917,"50.441917,2.787572","50.442657, 2.789213",Hauts-de-France,2.787572,50.441917,
Scène Nationale,Lieu Unique - Scène nationale,,"2, rue de la Biscuiterie",BP 21304,44000.0,NANTES Cedex 1,-1.54477,47.21529000000002,"47.21529000000002,-1.54477","47.215155, -1.545073",Pays de la Loire,-1.5447700000000002,47.21529000000002,
Scène Nationale,Le Parvis / Scène nationale Tarbes-Pyrénées,Centre Méridien,"Centre Commercial Le Méridien, Route de Pau",,65420.0,IBOS,-0.008175,43.242247999999975,"43.242247999999975,-0.008175","43.241052, 0.019087",Occitanie,-0.008175,43.242247999999975,
Orchestre Permanent,Orchestre national de Lille,,"3, place Mendès-France",BP 119,59027.0,Lille Cedex,3.019732,50.636335,"50.636335,3.019732",,Hauts-de-France,3.019732,50.636335,
Centre d’art,LA SYNAGOGUE DE DELME,CENTRE D'ART CONTEMPORAIN,"33, rue Raymond Poincaré",,57590.0,DELME,,,,"48.888718, 6.38938",Grand Est,6.38938,48.888718,
Centre d’art,MAISON DES ARTS GEORGES POMPIDOU,,Route de Gréalou,,46160.0,CAJARC-SUR-LOT,,,,"44.508858, 1.925494",Occitanie,1.925494,44.508858,
Pôle cirque,Circuits,,Rue Guynemer,Centre Cuzin,32000.0,AUCH,,,,"43.647236, 0.582284",Occitanie,0.582284,43.647236,
SMAC,ATM (projet SMAC d'agglomération rennaise),Association Trans Musicales,"10/12, rue Jean Guy",-CS 73912,35000.0,RENNES,,,,"48.106842, -1.695181",Bretagne,-1.6951809999999998,48.106842,
